-0.72,17.3256,[ 17.1651, 17.1534, 17.1651, 17.4223, 17.1651, 17.1534, 17.5617, 17.4223, 17.1651, 17.1534, 17.5617, 17.1534, 17.1651, 17.1534, 17.5617, 17.1534, 17.5617, 17.5617, 17.1534, 17.5617, 17.4223, 17.1534, 17.5617, 17.4223, 17.1651, 17.5617, 17.4223, 17.1651, 17.4223, 17.4223, 17.1651, 17.4223 ]
-0.7,14.9285,[ 14.7849, 14.8081, 14.7849, 15.1033, 14.7849, 14.8081, 15.0177, 15.1033, 14.7849, 14.8081, 15.0177, 14.8081, 14.7849, 14.8081, 15.0177, 14.8081, 15.0177, 15.0177, 14.8081, 15.0177, 15.1033, 14.8081, 15.0177, 15.1033, 14.7849, 15.0177, 15.1033, 14.7849, 15.1033, 15.1033, 14.7849, 15.1033 ]
-0.68,15.3882,[ 15.5509, 15.0344, 15.5509, 15.3075, 15.5509, 15.0344, 15.6602, 15.3075, 15.5509, 15.0344, 15.6602, 15.0344, 15.5509, 15.0344, 15.6602, 15.0344, 15.6602, 15.6602, 15.0344, 15.6602, 15.3075, 15.0344, 15.6602, 15.3075, 15.5509, 15.6602, 15.3075, 15.5509, 15.3075, 15.3075, 15.5509, 15.3075 ]
-0.66,20.6222,[ 21.1072, 20.0085, 21.1072, 20.2264, 21.1072, 20.0085, 21.1466, 20.2264, 21.1072, 20.0085, 21.1466, 20.0085, 21.1072, 20.0085, 21.1466, 20.0085, 21.1466, 21.1466, 20.0085, 21.1466, 20.2264, 20.0085, 21.1466, 20.2264, 21.1072, 21.1466, 20.2264, 21.1072, 20.2264, 20.2264, 21.1072, 20.2264 ]
-0.64,27.7167,[ 27.9105, 27.4469, 27.9105, 27.5844, 27.9105, 27.4469, 27.9252, 27.5844, 27.9105, 27.4469, 27.9252, 27.4469, 27.9105, 27.4469, 27.9252, 27.4469, 27.9252, 27.9252, 27.4469, 27.9252, 27.5844, 27.4469, 27.9252, 27.5844, 27.9105, 27.9252, 27.5844, 27.9105, 27.5844, 27.5844, 27.9105, 27.5844 ]
-0.62,24.1277,[ 25.3665, 22.7863, 25.3665, 22.9896, 25.3665, 22.7863, 25.3684, 22.9896, 25.3665, 22.7863, 25.3684, 22.7863, 25.3665, 22.7863, 25.3684, 22.7863, 25.3684, 25.3684, 22.7863, 25.3684, 22.9896, 22.7863, 25.3684, 22.9896, 25.3665, 25.3684, 22.9896, 25.3665, 22.9896, 22.9896, 25.3665, 22.9896 ]
-0.6,31.7652,[ 36.1339, 27.4173, 36.1339, 27.2669, 36.1339, 27.4173, 36.2429, 27.2669, 36.1339, 27.4173, 36.2429, 27.4173, 36.1339, 27.4173, 36.2429, 27.4173, 36.2429, 36.2429, 27.4173, 36.2429, 27.2669, 27.4173, 36.2429, 27.2669, 36.1339, 36.2429, 27.2669, 36.1339, 27.2669, 27.2669, 36.1339, 27.2669 ]
-0.58,41.633,[ 44.9683, 38.2912, 44.9683, 37.8641, 44.9683, 38.2912, 45.4085, 37.8641, 44.9683, 38.2912, 45.4085, 38.2912, 44.9683, 38.2912, 45.4085, 38.2912, 45.4085, 45.4085, 38.2912, 45.4085, 37.8641, 38.2912, 45.4085, 37.8641, 44.9683, 45.4085, 37.8641, 44.9683, 37.8641, 37.8641, 44.9683, 37.8641 ]
-0.56,42.8799,[ 45.1787, 40.6227, 45.1787, 40.2715, 45.1787, 40.6227, 45.4465, 40.2715, 45.1787, 40.6227, 45.4465, 40.6227, 45.1787, 40.6227, 45.4465, 40.6227, 45.4465, 45.4465, 40.6227, 45.4465, 40.2715, 40.6227, 45.4465, 40.2715, 45.1787, 45.4465, 40.2715, 45.1787, 40.2715, 40.2715, 45.1787, 40.2715 ]
-0.54,45.2586,[ 47.071, 43.4322, 47.071, 43.1892, 47.071, 43.4322, 47.342, 43.1892, 47.071, 43.4322, 47.342, 43.4322, 47.071, 43.4322, 47.342, 43.4322, 47.342, 47.342, 43.4322, 47.342, 43.1892, 43.4322, 47.342, 43.1892, 47.071, 47.342, 43.1892, 47.071, 43.1892, 43.1892, 47.071, 43.1892 ]
